message_id,date,edited_date,rom_name,rom_version,android_version,build_type,download_links,image_path,changelog,bugs,notes,maintainer,raw_text
20,2023-06-11T11:37:06,2023-06-11T12:50:20,PixelExperience,,13,"Unofficial, Official",https://sourceforge.net/projects/camellia-builds/files/Release/,,,,,,"#PEPlus #Unofficial #ROM #Camellia #Camellian #T #HOTFIX
PixelExperience Plus - UNOFFICIAL | Android 13
Released: 11/06/2023

▪️ Download

Changelog:
▪️ Fixed BT crashing
▪️ Added FM radio

Note:
▪️ BT audio still randomly disconnects"
21,2023-06-12T18:04:07,2023-06-12T18:05:04,LineageOS,20,13,"Unofficial, Official",https://sourceforge.net/projects/camellia-rom/files/LineageOS/,photos/photo_10@12-06-2023_18-04-07.jpg,,,,@roseia001,"#Lineage #Unofficial #ROM #T #Camellia #Camellian
LineageOS 20 - UNOFFICIAL | Android 13
Released: 12/06/2023

▪️Download
▪️XDA
▪️Support
▪️Flashing steps

Changelog:
• Initial build

Bugs:
▪️ Default Browser is Broken (Source issue)
▪️ Bluetooth audio randomly disconnects

Notes:
• Flash with LineageOS Recovery​

Special thanks
@Rio113 for device tree
@khaeruisfine
Mt6833 Aliance

By @roseia001
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
23,2023-06-15T15:51:58,2023-06-15T15:57:05,CrDroid,,13,"Vanilla, Unofficial, Official",https://sourceforge.net/projects/camellia-rom/files/crDroid/,photos/photo_11@15-06-2023_15-51-58.jpg,,,,@khaeruisfine,"#CrDroid #Unofficial #T #ROM #Camellia #Camellian
CrDroidv9.5 - UNOFFICIAL | Android 13
Updated: 15/06/'23

▪️Download
▪️XDA thread
▪️Support
▪️Donate
▪️Flashing Steps

Changelog:
• Initial A13 Release

Bugs:
• Default Browser Broken

Notes:
• Flash with CrDroid Recovery
• Vanilla Build
• Selinux is Permissive

Special thanks:
@Rio113 for device tree
@roseia001 for everything

By @khaeruisfine
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
24,2023-06-15T22:24:05,2023-07-06T19:29:00,PixelExperience,,13,"Unofficial, Official",https://github.com/dm700-devs/OTA/releases/tag/1.0,photos/photo_1@08-04-2023_12-38-00.jpg,,,,@rio113,"#PEPlus #Unofficial #ROM #Camellia #Camellian #T 
PixelExperience Plus - UNOFFICIAL | Android 13
Released: 15/06/2023
Kernel Source: Prebuilt

▪️ Download
▪️ XDA
▪️ Support Group
▪️ Flashing Guide
▪️ Donation

Changelog:
▪️ Updated kernel
▪️ Updated blobs
▪️ Added OTA support

Known issues:
▪️ Bluetooth audio randomly disconnects

Notes:
• Flash from PE Recovery

Thanks to:
• @kmosq for the server
• Testers

By @rio113
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
25,2023-06-16T10:16:11,2023-06-16T11:02:36,SuperiorOS,,13,"Unofficial, Official",https://mega.nz/folder/ME13VTQD#nxdO0yLN96vnKVecNsXPAg,photos/photo_13@16-06-2023_10-16-11.jpg,,,,@ramshell688,"#SuperiorOS #Unofficial #ROM #T #OSS #Camellia #Camellian
SuperiorOS - UNOFFICIAL | Android 13
Released: 10/06/2023

▪️Download
▪️XDA thread
▪️Support
▪️Flashing steps
▪️Screenshots

Changelog:
• Initial build

Bugs:
• You tell me

Notes:
• Flash with SuperiorOS Recovery
• SELinux Permissive​

Special thanks
@Rio113 for device tree
@VipulSharma_007 for tester
Mt6833 Alience

By @ramshell688
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
26,2023-06-16T15:35:35,2023-06-16T15:48:27,Android,13,13,"Unofficial, Official",https://github.com/dm700-devs/OTA/releases/tag/2.0,photos/photo_14@16-06-2023_15-35-35.jpg,,,,@rio113,"#EvolutionX #Unofficial #ROM #Camellia #Camellian #T 
EvolutionX - UNOFFICIAL | Android 13
Released: 16/06/2023
Kernel Source: Prebuilt

▪️ Download
▪️ XDA
▪️ Support Group
▪️ Flashing Guide
▪️ Donation

Changelog:
▪️ Initial Build

Known issues:
▪️ Bluetooth audio randomly disconnects
▪️ Selinux is permissive

Notes:
• Flash from PE Recovery

Thanks to:
• @kmosq for the server
• Testers

By @rio113
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
27,2023-06-16T18:25:22,2023-06-16T22:57:50,EvolutionX,,13,"Unofficial, Official",,,,,,,"EvolutionX - UNOFFICIAL | Android 13
Update: ROM was updated to fix the OTA server issue.

Reflashing the ROM without wiping data is fine if you were on the previous build."
28,2023-06-25T11:38:20,2023-06-25T11:39:24,BananaDroid,,13,"Unofficial, Official",https://mega.nz/folder/wQV1EQgD#74FWPhuKPIjlOl-g4UOPmA,photos/photo_15@25-06-2023_11-38-20.jpg,,,,@ramshell688,"#BananaDroid #Unofficial #ROM #T #OSS #Camellia #Camellian
BananaDroid - UNOFFICIAL | Android 13
Released: 23/06/2023

▪️Download
▪️XDA
▪️Support
▪️Flashing steps
▪️Screenshots

Changelog:
• Initial build

Bugs:
• You tell me

Notes:
• Flash with BananaDroid Recovery
• SELinux Permissive​

Special thanks
@Rio113 for device tree
@VipulSharma_007 for tester
Mt6833 Alience

By @ramshell688
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
29,2023-06-25T22:27:33,2023-06-25T23:13:46,LineageOS,,13,"GApps, Vanilla, Unofficial, Official",https://sourceforge.net/projects/camellia-rom/files/LineageOS/,photos/photo_16@25-06-2023_22-27-33.jpg,,,,@roseia001,"#LineageOS #Unofficial #ROM #T #Camellia #Camellian #Vanilla
LineageOS 20 - UNOFFICIAL | Android 13
Released: 26/06/2023

▪️Download
▪️Support
▪️Flashing steps

Changelog:
▪️ June security patch.

Bugs:
▪️ Bluetooth audio randomly disconnects

Notes:
• Flash with LineageOS Recovery​
• Vanilla build (Flash Gapps by using NikGapps)

Special thanks:
@Rio113 for device tree
@khaeruisfine
Mt6833 Aliance

By @roseia001
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
30,2023-06-27T18:12:05,2023-06-28T00:00:29,AlphaDroid,,13,"Unofficial, Official",https://sourceforge.net/projects/naokoshoto-stuffs/files/camellia-alpha/Release/,photos/photo_17@27-06-2023_18-12-05.jpg,,,,@naokoshoto,"#AlphaDroid #Unofficial #ROM #T #Camellia #Camellian
AlphaDroid v1.5.1 - UNOFFICIAL | Android 13
Released: 27/06/2023

▪️Download
▪️XDA
▪️Support
▪️Flashing steps
▪️Screenshots

Changelog:
• Initial release.
• May security patch.

Bugs:
• Bluetooth audio randomly disconnects

Notes:
• Flash with Alpha/CrDroid Recovery
• SELinux Permissive

Special thanks:
- @Rio113 for device tree
- MT6833 Aliance for guide & helping
- @GiovanniLemos for early tester

By @naokoshoto
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
31,2023-06-29T17:22:48,2023-06-29T17:23:12,CherishOS,,13,"Unofficial, Official",https://mega.nz/file/0EF1nLCD#bzqyFh_U49ONgIFaPsk5jDL3a8U5VoOjzMyP-BGHaxw,photos/photo_18@29-06-2023_17-22-48.jpg,,,,@ramshell688,"#CherishOS #Unofficial #ROM #T #Camellia #Camellian
Cherish OS 4.9 - UNOFFICIAL | Android 13
Released: 29/06/2023

▪️Download
▪️XDA thread
▪️Support
▪️Flashing steps
▪️Screenshots

Changelog:
• Initial build

Bugs:
• You tell me

Notes:
• Flash with PixelExperience Recovery
• June Security Patch​
• SELinux Permissive

Special thanks
@Rio113 for device tree
@VipulSharma_007
Mt6833 Alliance

By @ramshell688
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
32,2023-06-30T16:23:47,2023-06-30T23:42:39,Android,13,13,"Unofficial, Official",https://github.com/dm700-devs/OTA/releases/tag/3.0,photos/photo_14@16-06-2023_15-35-35.jpg,,,,@rio113,"#EvolutionX #Unofficial #ROM #Camellia #Camellian #T 
EvolutionX - UNOFFICIAL | Android 13
Released: 30/06/2023

▪️ Download
▪️ Support Group
▪️ Flashing Guide
▪️ Donation

Changelog:
▪️ June Security Patch
▪️ Build sensor AIDL from source
▪️ Update overlays to V14.0.4.0.TKSMIXM
▪️ Refactor props from V14.0.4.0.TKSMIXM
▪️ Build WiFi stack from source
▪️ Increased smoothness
▪️ Fixed OTA support

Known issues:
▪️ Bluetooth audio randomly disconnects
▪️ ROM is permissive

Notes:
• Flash from PE Recovery

Thanks to:
• @kmosq for the server
• Testers

By @rio113
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
33,2023-07-08T14:16:21,2023-07-08T14:17:09,Android,13,13,"Unofficial, Official",https://mega.nz/folder/gEFChRzI#jIScZsw7sbzGuZ-LbEFqWw,photos/photo_20@08-07-2023_14-16-21.jpg,,,,@ramshell688,"#ProtonPlus #Unofficial #ROM #T #Camellia #Camellian
ProtonPlus 13.1 - UNOFFICIAL | Android 13
Released: 07/07/2023

▪️Download
▪️XDA
▪️Support
▪️Flashing steps
▪️Screenshots

Changelog:
• Initial build

Bugs:
• You tell me

Notes:
• Flash with Proton Recovery
• May Security Patch
• SELinux Permissive​

Special thanks
@Rio113 for device tree
@VipulSharma_007 for tester
Mt6833 Alience

By @ramshell688
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
34,2023-07-08T21:26:21,2023-07-09T02:18:17,AlphaDroid,,13,"Unofficial, Official","https://sourceforge.net/projects/naokoshoto-stuffs/files/camellia-alpha/Release/AlphaDroid-13.0-20230708-camellia-full_gapps-v1.6.zip/download, https://sourceforge.net/projects/naokoshoto-stuffs/files/camellia-alpha/Release/boot.img/download",photos/photo_21@08-07-2023_21-26-21.jpg,,,,@naokoshoto,"#AlphaDroid #Unofficial #ROM #T #Camellia #Camellian
AlphaDroid v1.6 - UNOFFICIAL | Android 13
Released: 08/07/2023

▪️Download ROM | boot.img
▪️XDA
▪️Support
▪️Flashing steps
▪️Screenshots
▪️Donation

Changelog:
• June security patch & QPR3
• Build sensor AIDL from source
• Update overlays to V14.0.4.0.TKSMIXM
• Refactor props from V14.0.4.0.TKSMIXM
• Build WiFi stack from source
• Props cleanup

Bugs:
• Bluetooth audio randomly disconnects

Notes:
• Flash with Alpha/CrDroid Recovery
• SELinux Permissive

Special thanks:
- @Rio113 for device tree
- MT6833 Aliance for guide & helping
- @GiovanniLemos for early tester

By @naokoshoto
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
35,2023-07-11T13:18:46,2023-07-11T13:19:59,CherishOS,,13,"GApps, Vanilla, Official",https://sourceforge.net/projects/cherish-os/files/device/camellia/,photos/photo_22@11-07-2023_13-18-46.jpg,,,,@ramshell688,"#CherishOS #Official #ROM #T #Camellia #Camellian
Cherish OS 4.10 - OFFICIAL | Android 13
Released: 10/07/2023

▪️Download
▪️XDA thread
▪️Support
▪️Flashing steps
▪️Screenshots

Changelog:
• Gapps & Vanilla built
• Gapps: OTA supported
• July security patch

Bugs:
• Bluetooth audio disconnects randomly

Notes:
• Using Cherish recovery
• SELinux is Permissive

Special thanks:
@Rio113 for device tree
@VipulSharma_007
Mt6833 Alliance

By @ramshell688
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
36,2023-07-12T12:39:48,2023-07-12T12:40:33,LineageOS,,13,"GApps, Vanilla, Unofficial, Official",https://github.com/Keith113/OTA/releases/tag/1.0,photos/photo_23@12-07-2023_12-39-48.jpg,,,,@roseia001,"#LineageOS #Unofficial #ROM #T #Camellia #Camellian #Vanilla
LineageOS 20 - UNOFFICIAL | Android 13
Released: 12/07/2023

▪️Download
▪️Support
▪️Flashing steps

Changelog:
▪️ July security patch
▪️ Added OTA Supported

Bugs:
▪️ Bluetooth audio randomly disconnects

Notes:
• Flash with LineageOS Recovery​
• Vanilla build (Flash Gapps by using NikGapps)
• NikGapps Core variant isn't working. (Report it to NikGapps)

Special thanks:
@Rio113 for device tree
@LineageOS_Defender For testing OTA
Mt6833 Aliance

By @roseia001
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
37,2023-07-13T01:00:28,2023-07-13T01:24:42,Android,13,13,"Unofficial, Official",https://github.com/dm700-devs/OTA/releases/tag/4.0,photos/photo_14@16-06-2023_15-35-35.jpg,,,,@rio113,"#EvolutionX #Unofficial #ROM #T #Camellia #Camellian 
EvolutionX - UNOFFICIAL | Android 13
Released: 13/07/2023

▪️ Download
▪️ Support Group
▪️ Flashing Guide
▪️ Donation

Changelog:
▪️ July Security Patch
▪️ Build USB HAL from source
▪️ Fixed ADB sideload

Known issues:
▪️ BT audio randomly disconnects
▪️ SELinux is permissive

Notes:
• Flash from EvoX Recovery

Thanks to:
• @kmosq for the server
• Testers

By @rio113
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
38,2023-07-13T13:58:26,2023-07-13T14:01:31,PixelExperience,,13,"Unofficial, Official",https://github.com/dm700-devs/OTA/releases/tag/5.0,photos/photo_1@08-04-2023_12-38-00.jpg,,,,@rio113,"#PEPlus #Unofficial #ROM #T #Camellia #Camellian  
PixelExperience Plus - UNOFFICIAL | Android 13
Released: 13/07/2023

▪️ Download
▪️ Support Group
▪️ Flashing Guide
▪️ Donation

Changelog:
•  July Security Patch
•  Build USB HAL from source
•  Build sensor AIDL from source
•  Update overlays to V14.0.4.0.TKSMIXM
•  Refactor props from V14.0.4.0.TKSMIXM
•  Build WiFi stack from source
•  Increased smoothness

Known issues:
• Bluetooth audio randomly disconnects

Notes:
• Flash from PE Recovery

Thanks to:
• @kmosq for the server
• Testers

By @rio113
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
39,2023-07-14T17:39:09,2023-07-14T17:44:12,DerpFest,,,"GApps, Unofficial, Official",https://sourceforge.net/projects/camellia-rom/files/DerpFest/,photos/photo_26@14-07-2023_17-39-09.jpg,,,,@roseia001,"#Derp #DerpFest #ROM #T #Camellia #Camellian
DerpFest 13 Tango | UNOFFICIAL
Updated: 14/07/23'

▪️Download
▪️Support
▪️Flashing steps

Changelog:
▪️ Initial build

Bugs:
▪️ Bluetooth audio randomly disconnects

Notes:
• Flash with DerpFest Recovery​
• Gapps build
• If someone is lagging, please disable blur.

Special thanks:
@Rio113 for device tree
@VipulSharma_007 for early testing
Mt6833 Aliance

By @roseia001
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
40,2023-07-15T15:02:54,2023-07-15T15:04:20,SuperiorOS,,13,"Unofficial, Official",https://mega.nz/file/UUlCDZSD#dNiM4kNR_BPGFRaANdTVyht4Tap2WCY1tJwkekzuRJg,photos/photo_27@15-07-2023_15-02-54.jpg,,,,@ramshell688,"#SuperiorOS #Unofficial #ROM #T #Camellia #Camellian
SuperiorOS - UNOFFICIAL | Android 13
Updated: 13/07/2023

▪️Download
▪️XDA thread
▪️Support
▪️Flashing steps
▪️Screenshots

Changelog:
•  July security patch
•  Fix face unlock not showing 
•  Improvement speed and performance

Bugs:
• You tell me

Notes:
• Flash with SuperiorOS Recovery
• SELinux is Permissive​

Special thanks
@Rio113 for device tree
Mt6833 Alience

By @ramshell688
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
41,2023-07-17T19:20:33,2023-07-17T19:21:15,PixelOS,,,"Unofficial, Official",https://sourceforge.net/projects/camellia-rom/files/PixelOS/,photos/photo_28@17-07-2023_19-20-33.jpg,,,,@roseia001,"#PixelOS #ROM #T #Camellia #Camellian
PixelOS v13.0 | UNOFFICIAL | A13
Released: 18/07/23'

▪️Download
▪️Support
▪️Flashing steps

Changelog:
•  Synced the latest July security patch
Source changelogs at blog.pixelos.net
•  Switched the arch variant to armv8-2a-dotprod to unlock some optimizations
•  Added OTA supported
•  Switched to default Hybird sched
•  Set 2.5GB ZRAM to all variants
•  Enabled suspend to RAM
•  Set vulkan as hwui renderer
•  Performance improvements
•  Added AOD (Not really recommended to use it daily) 

Bugs:
• Bluetooth audio randomly disconnects

Notes:
 • Flash with PixelOS recovery 
   Remember need to enter apply update twice to get it working
 • SELinux is Permissive 

Special thanks
@Rio113 for device tree
Mt6833 Aliance

By @roseia001
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
42,2023-07-21T11:17:41,2023-07-21T11:18:23,CrDroid,,13,"GApps, Vanilla, Unofficial, Official","https://sourceforge.net/projects/camellia-rom/files/CrDroid/crDroidAndroid-13.0-20230721-camellia-v9.7.zip/download, https://sourceforge.net/projects/nikgapps/files/Config-Releases/NikGapps-T/21-Jul-2023/NikGapps-khaeru-arm64-13-20230721.zip/download",photos/photo_11@15-06-2023_15-51-58.jpg,,,,@khaeruisfine,"#CrDroid #Unofficial #T #ROM #Camellia #OSS
CrDroidv9.7 - UNOFFICIAL | Android 13
Updated: 21/07/'23

▪️Download
▪️Support
▪️Donate
▪️Flashing Steps

Changelog:
• July Security Patch. 
• Enable back HMP Sched
• Switched the arch variant to armv8-2a-dotprod to unlock some optimizations
• Performance improvements

Bugs:
• Bluetooth audio randomly disconnects

Notes:
• Flash with CrDroid Recovery
• Vanilla Build flash this gapps
• Selinux is Permissive

Special thanks
@Rio113 for device tree
@roseia001 for everything

By @khaeruisfine
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
43,2023-07-23T00:28:56,2023-07-23T02:46:16,xtended,,13,"Unofficial, Official",https://sourceforge.net/projects/camellia-roms/files/PixelExtended/Release/,photos/photo_30@23-07-2023_00-28-56.jpg,,,,@ramshell688,"#PixelExtended #Unofficial #ROM #T #Camellia #Camellian
PixelExtended 5.9 - UNOFFICIAL | Android 13
Updated: 20/07/2023

▪️ Download
▪️ XDA thread
▪️ Support
▪️ Flashing steps
▪️ Screenshot

Changelog:
• July security patch
• Adapt Pixel Power HAL
• Added Hide IME space feature
• Improvement speed and performance

Bugs:
• BT audio disconnects randomly 

Notes:
• Flash with PixelExperience Recovery​
• SELinux is Permissive

Special thanks
@Rio113 for device tree
Mt6833 Aliance

By @ramshell688
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
44,2023-07-25T01:23:57,2023-07-25T01:59:32,AncientOS,,13,Official,"https://mega.nz/folder/ynhx2KKD#tmQOTCQUTKgftEVnSR0DUQ, https://mega.nz/folder/vy4ACBjY#72JHWLmO80uYCGdIeTFqBw",photos/photo_31@25-07-2023_01-23-57.jpg,,,,@Asknesslisa,"#AncientOS #Port #T #Camellia
#Camellian
AncientOS v -7.0 Port | Android 13

▪️Camellia | Camellian
▪️Support
▪️Flashing
▪️Screenshot

Changelog:
• MIUI Camera

Bugs:
• The screen turns off if you turn the brightness down too much

By @Asknesslisa
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
46,2023-08-01T11:16:24,2023-08-01T11:28:08,RisingOS,,13,"GApps, Unofficial, Official",https://sourceforge.net/projects/camellia-rom/files/RisingOS/,photos/photo_32@01-08-2023_11-16-24.jpg,,,,@kucingabu,"#RisingOS #Unofficial #T #ROM #Camellia #Camallian
RisingOS v1.2.5 - UNOFFICIAL | Android 13
Updated: 31/07/'23

▪️Download
▪️Support
▪️Flashing Steps

Changelog:
• Initial Release with July Security Patch. 

Bugs:
• Bluetooth audio randomly disconnects

Notes:
• Flash with Rising Recovery 
• Gapps build
• Selinux is Permissive

Special thanks
@Rio113 for device tree
@roseia001 for everything
@VipulSharma_007 for testing

By @kucingabu
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
47,2023-08-01T11:18:03,2023-08-01T11:18:19,ArrowOS,,13,"GApps, Unofficial, Official",https://sourceforge.net/projects/camellia-rom/files/ArrowOS/,photos/photo_33@01-08-2023_11-18-03.jpg,,,,@noah_allen,"#ArrowOS #ROM #T #Camellia #Camellian
ArrowOS UNOFFICIAL | Android 13
Released: 1/8/23'

▪️Download
▪️Support
▪️Flashing steps

Changelog:
•  Initial Build
•  Synced the latest July security patch

Bugs:
• Bluetooth audio randomly disconnects

Notes:
 • Flash with ArrowOS recovery 
 • SELinux is Permissive 
 • Gapps build

Special thanks
@Rio113 for device tree
@VipulSharma_007 for testing
Mt6833 Aliance

By @noah_allen
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
51,2023-08-11T14:00:29,2023-08-11T14:04:16,CrDroid,,13,"Vanilla, Official",https://crdroid.net/downloads#camellia,photos/photo_34@11-08-2023_14-00-29.jpg,,,,@kucingabu,"#CrDroid #Official #T #ROM #Camellia #Camellian
CrDroid v9.7 - OFFICIAL | Android 13
Updated: 09/08/'23

▪️Download
▪️XDA thread
▪️Support
▪️Flashing Steps

Changelog:
• Initial Official Build with July SP
• Selinux is Enforcing
• Switch to Pixel PowerHal

Bugs:
• Bluetooth audio randomly disconnects

Notes:
• Flash with CrDroid Recovery
• Vanilla Build
• Selinux is Enforcing

Special thanks
@Rio113 for device tree
@noah_allen for everything

By @kucingabu
Follow @PocoM3ProUpdates
Join @PocoM3ProOfficial"
